Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
1791_NAME;The World Turned Upside Down;;;;;;;;;;;;;
1791_DESC;Henry Lee - The learned judge further says, that “every tribunal, selected for the decision of facts, is a step towards establishing aristocracy—the most oppressive of all governments.”;;;;;;;;;;;;;
PFR_NAME;Proclaimation of the Republic;;;;;;;;;;;;;
PFR_DESC;xxx;;;;;;;;;;;;;
DWS_NAME;Divided We Stand;;;;;;;;;;;;;
DWS_DESC;xxx;;;;;;;;;;;;;
DID_NAME;Democracy in Darkness;;;;;;;;;;;;;
DID_DESC;xxx;;;;;;;;;;;;;
18B_NAME;Brumaire;;;;;;;;;;;;;
18B_DESC;xxx;;;;;;;;;;;;;
REM_NAME;"La Republique, c'est morte.";;;;;;;;;;;;;
REM_DESC;xxx;;;;;;;;;;;;;
