Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
appalachian;Appalachian;;;;;;;;;;;;;
acadian;Acadian;;;;;;;;;;;;;
muscogee;Muscogee;;;;;;;;;;;;;
algonquin;Algonquin;;;;;;;;;;;;;
iroquois;Haudenosaunee;;;;;;;;;;;;;
nahua;Nahua;;;;;;;;;;;;;
chinookan;Chinookan;;;;;;;;;;;;;
salishan;Salishan;;;;;;;;;;;;;
dakotan;Siouan;;;;;;;;;;;;;
hokan;Hokan;;;;;;;;;;;;;
coahuiltecan;Coahuiltecan;;;;;;;;;;;;;
kutenai;Kutenai;;;;;;;;;;;;;
timucua;Timucua;;;;;;;;;;;;;
karankawa;Karankawa;;;;;;;;;;;;;
corachol;Corachol;;;;;;;;;;;;;
cahita;Cahita;;;;;;;;;;;;;
opatan;Opatan;;;;;;;;;;;;;
piman;Piman;;;;;;;;;;;;;
takic;Takic;;;;;;;;;;;;;
numic;Numic;;;;;;;;;;;;;
pacific_athabaskan;Pacific Athabaskan;;;;;;;;;;;;;
northern_athabaskan;Northern Athabaskan;;;;;;;;;;;;;
southern_athabaskan;Southern Athabaskan;;;;;;;;;;;;;
tonkawa;Tonkawa;;;;;;;;;;;;;
caddoan;Caddoan;;;;;;;;;;;;;
penutian;Penutian;;;;;;;;;;;;;
wakashan;Wakashan;;;;;;;;;;;;;
chimukuan;Chimukuan;;;;;;;;;;;;;
hellenes;Hellenes;;;;;;;;;;;;;
