Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
#;;;;;;;;;;;;;;x;;;;
fascist;Fascist;Fasciste;Faschistisch;;Fascista;;;;;;;;;x;;;;
reactionary;Reactionary;Rectionnaires;Reaktione;;Reaccionaria;;;;;;;;;x;;;;
conservative;Conservative;Conservateur;Konservativ;;Conservadora;;;;;;;;;x;;;;
socialist;Socialist;Socialiste;Sozialistisch;;Socialista;;;;;;;;;x;;;;
communist;Marxist;Marxiste;Marxistisch;;Marxista;;;;;;;;;x;;;;
liberal;Liberal;Liberal;Liberal;;Liberal;;;;;;;;;x;;;;
progressive;Progressive;Liberal;Liberal;;Liberal;;;;;;;;;x;;;;
progressive_moderate;Centre-Progressive;Réformiste;Reformistisch;;Reformista;;;;;;;;;x;;;;
syndicalist;Syndicalist;Syndicaliste;Syndikalist;;Sindicalista;;;;;;;;;x;;;;
social_democrat;Social Democrat;Social-démocrate;Sozialdemokrat;;Social Democrat;;;;;;;;;x;;;;
nationalist;Nationalist;Nationalist;Nationalist;;Nationalist;;;;;;;;;x;;;;
liberal_moderate;Centre-Liberal;Libéral modéré;Gemäßigter Liberaler;;Liberal moderado;;;;;;;;;x;;;;
conservative_moderate;Centre-Conservative;Conservateur modéré;Gemäßigter Konservativer;;Conservador moderado;;;;;;;;;x;;;;
anarcho_liberal;Anarcho-Capitalist;Anarcho-capitaliste;Anarcho-Kapitalist;;Anarcocapitalista;;;;;;;;;x;;;;
