Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
USA_loyalist;Loyalist faction;;;;;;;;;;;;;
USA_patriot;Patriot faction;;;;;;;;;;;;;
USA_radical;Radical faction;;;;;;;;;;;;;
USA_federalist;Federalist faction;;;;;;;;;;;;;
USA_antifederalist;Anti-federalist faction;;;;;;;;;;;;;
USA_independents;Independents;;;;;;;;;;;;;
USA_democratic_republican;Democratic-Republican;;;;;;;;;;;;;
USA_new_federalist;Federalist Party;;;;;;;;;;;;;
USA_positivist;Positivist faction;;;;;;;;;;;;;
USA_jacobin;American Jacobin-Republican;;;;;;;;;;;;;
USA_antimasonic;Anti-Masonic Party;;;;;;;;;;;;;
USA_know_nothing;Nativist Party;;;;;;;;;;;;;
